id,title,year,poster_path
550,Fight Club,1999.0,/pB8BM7pdSp6B6Ih7QZ4DrQ3PmJK.jpg
13,Forrest Gump,1994.0,/arw2vcBveWOVZr6pxd9XTd1TdQa.jpg
12,Finding Nemo,2003.0,/ggQ6o8X5984OCh3kZi2UIJQJY5y.jpg
259316,Fantastic Beasts and Where to Find Them,2016.0,/h6NYfVUyM6CDURtZSnBpz647Ldd.jpg
109445,Frozen,2013.0,/kgwjIb2JDHRhNk13lmSxiClFjVk.jpg
127380,Finding Dory,2016.0,/3UVe8NL1E2ZdUZ9EDlKGJY5UzE.jpg
216015,Fifty Shades of Grey,2015.0,/63kGofUkt1Mx0SIL4XI4Z5AoSgt.jpg
228150,Fury,2014.0,/pfte7wdMobMF4CVHuOxyu6oqeeA.jpg
338952,Fantastic Beasts: The Crimes of Grindelwald,2018.0,/fMMrl8fD9gRCFJvsx0SuFwkEOop.jpg
82992,Fast & Furious 6,2013.0,/thSmnRdrzPBBospIOJjLZBReqzo.jpg
168259,Furious 7,2015.0,/ktofZ9Htrjiy0P6LEowsDaxd3Ri.jpg
600,Full Metal Jacket,1987.0,/kMKyx1k8hWWscYFnPbnxxN4Eqo4.jpg
330457,Frozen II,2019.0,/mINJaa34MtknCYl5AjtNJzWj8cD.jpg
9738,Fantastic Four,2005.0,/8HLQLILZLhDQWO6JDpvY6XJLH75.jpg
550988,Free Guy,2021.0,/xmbU4JTUm8rsdtn7Y3Fcm30GpeT.jpg
51497,Fast Five,2011.0,/c5rgA1EYwMmxsQdyvLkQ8LD5Qun.jpg
337167,Fifty Shades Freed,2018.0,/9ZedQHPQVveaIYmDSTazhT3y273.jpg
50544,Friends with Benefits,2011.0,/q4ZAmIIbe2LiLvhQT0q3e6pleYr.jpg
1979,Fantastic Four: Rise of the Silver Surfer,2007.0,/f3ldtPF7SESMcyAIyIJHBLlBBkr.jpg
256591,Focus,2015.0,/lOzGWjceYTd0kd5HyX7Ch46O9kh.jpg
275,Fargo,1996.0,/rt7cpEr1uP6RTZykBFhBTcRaKvG.jpg
341174,Fifty Shades Darker,2017.0,/7CBO9GhsUeMSsWQb47WTPZnKjdj.jpg
359724,Ford v Ferrari,2019.0,/dR1Ju50iudrOh3YgfwkAU1g2HZe.jpg
13804,Fast & Furious,2009.0,/lUtVoRukW7WNtUySwd8hWlByBds.jpg
385128,F9,2021.0,/bOFaAXmWWXC3Rbv4u4uM9ZSzRXP.jpg
384018,Fast & Furious Presents: Hobbs & Shaw,2019.0,/qRyy2UmjC5ur9bDi3kpNNRCc5nc.jpg
1368,First Blood,1982.0,/a9sa6ERZCpplbPEO7OMWE763CLD.jpg
166424,Fantastic Four,2015.0,/oeMpEsjmiT9PEJbRM1Fm7TZ1dE0.jpg
87502,Flight,2012.0,/1AjXgBM2lkpG3FLQO0f6AK3Bi1e.jpg
755,From Dusk Till Dawn,1996.0,/sV3kIAmvJ9tPz4Lq5fuf9LLMxte.jpg
527641,Five Feet Apart,2019.0,/kreTuJBkUjVWePRfhHZuYfhNE1T.jpg
