id,title,year,poster_path
263115,Logan,2017.0,/fnbjcRDYn6YviCcePDnGdyAkYsB.jpg
313369,La La Land,2016.0,/uDO8zWDhfWwoFdKS4fzkUJt0Rf0.jpg
240832,Lucy,2014.0,/dhjyfcwEoW6jJ4Q7DpZTp6E58GA.jpg
101,Léon: The Professional,1994.0,/yI6X2cCM5YPJtxMhUd3dPGqDAhw.jpg
87827,Life of Pi,2012.0,/iLgRu4hhSr6V1uManX6ukDriiSc.jpg
637,Life Is Beautiful,1997.0,/mfnkSeeVOBVheuyn2lo4tfmOPQb.jpg
51876,Limitless,2011.0,/hv5JMCrMVLvV6HKPf9FcBuyk2MG.jpg
59967,Looper,2012.0,/sNjL6SqErDBE8OUZlrDLkexfsCj.jpg
391713,Lady Bird,2017.0,/iySFtKLrWvVzXzlFj7x1zalxi5G.jpg
508943,Luca,2021.0,/8tABCBpzu3mZbzMB3sRzMEHEvJi.jpg
395992,Life,2017.0,/wztfli5NgYDgurVgShNflvnyA3Z.jpg
153,Lost in Translation,2003.0,/wkSzJs7oMf8MIr9CQVICsvRfwA7.jpg
773,Little Miss Sunshine,2006.0,/tFnTds88mCuLcLPBseK1kF2E3qv.jpg
334543,Lion,2016.0,/iBGRbLvg6kVc7wbS8wDdVHq6otm.jpg
100,"Lock, Stock and Two Smoking Barrels",1998.0,/8kSerJrhrJWKLk1LViesGcnrUPE.jpg
508,Love Actually,2003.0,/7QPeVsr9rcFU9Gl90yg0gTOTpVv.jpg
200727,"Love, Rosie",2014.0,/rpD0t7DhzJVadnzgxSYrqljQTL2.jpg
449176,"Love, Simon",2018.0,/5YUYg5q7QfC4IoNwNUtiwdiYKPr.jpg
1995,Lara Croft: Tomb Raider,2001.0,/7WyMvoqPYJe5g1ENsbLTv40pUrX.jpg
331482,Little Women,2019.0,/yn5ihODtZ7ofn8pDYfxCmxh8AXI.jpg
11544,Lilo & Stitch,2002.0,/d73UqZWyw3MUMpeaFcENgLZ2kWS.jpg
1571,Live Free or Die Hard,2007.0,/31TT47YjBl7a7uvJ3ff1nrirXhP.jpg
1624,Liar Liar,1997.0,/p1habYSdC7oD3WygQ5lynU5G5rV.jpg
82695,Les Misérables,2012.0,/90PyvT7SI5INKhMC6P7B5NJVx4t.jpg
10340,Lady and the Tramp,1955.0,/r9FiDSdBwNHdRwN0NMRrqfEHJGO.jpg
43347,Love & Other Drugs,2010.0,/wZLM2uKJRYNchLmiCIjosX0rXy8.jpg
11774,Lemony Snicket's A Series of Unfortunate Events,2004.0,/r7S57FpBsCljWc9fBUo2Iy5XGew.jpg
22803,Law Abiding Citizen,2009.0,/fcEXcip7v0O1ndV4VUdFqJSqbOg.jpg
2118,L.A. Confidential,1997.0,/lWCgf5sD5FpMljjpkRhcC8pXcch.jpg
267860,London Has Fallen,2016.0,/korY0GInEJThWEm23MRmErQ3GqT.jpg
1830,Lord of War,2005.0,/3MGQD4yXokufNlW1AyRXdiy7ytP.jpg
941,Lethal Weapon,1987.0,/fTq4ThIP3pQTYR9eDepsbDHqdcs.jpg
583,Life of Brian,1979.0,/lSSA64WF0M0BXnjwr2quMh6shCl.jpg
1996,Lara Croft: Tomb Raider - The Cradle of Life,2003.0,/ylIEGeAr2ygSClK4FDj9mi2Ah22.jpg
193756,Lone Survivor,2013.0,/zaBIrloyhGK7iNTZMb3f9SARsl8.jpg
186,Lucky Number Slevin,2006.0,/x21s3p5wPww534nYj1cWakTcqz4.jpg
590223,Love and Monsters,2020.0,/718NnyxyQuBQcGWt9sdelA1Zc3h.jpg
8835,Legally Blonde,2001.0,/4ABNnmkVpzplrEVQWt1piITT0Ey.jpg
406,La Haine,1995.0,/gfdhSzPyAWtAizqs4ytc0MwOlQg.jpg
345911,Lights Out,2016.0,/8BnElzAQQpp7ZgdJJiAe1diomr4.jpg
276907,Legend,2015.0,/4shf5Alq4KWCKqrAAQe0JGJHYp5.jpg
72976,Lincoln,2012.0,/oOo905cttAIkHERDBya5sX6HbIV.jpg
399170,Logan Lucky,2017.0,/mQrhrBaaHvRfBQq0Px3HtVbH9iE.jpg
942,Lethal Weapon 2,1989.0,/1EEIUw0tkX7AJZ1ikZrtKZZKlC6.jpg
718789,Lightyear,2022.0,/b9t3w1loraDh7hjdWmpc9ZsaYns.jpg
39451,Little Fockers,2010.0,/90mwPRNMmX9RUGVgKMJMJNQnYX8.jpg
38408,Life As We Know It,2010.0,/zLzS2aOqKsS0QvEaY6SfBw4VBqh.jpg
82633,Lawless,2012.0,/Ahtzwts22ayviD3LEVslfL4nRWB.jpg
576845,Last Night in Soho,2021.0,/ahbwIJl7T0D34m3sPKlBaCqs2xH.jpg
37056,Letters to Juliet,2010.0,/86sBDdFG0bIzdYDagZOfM6Ryoix.jpg
947,Lawrence of Arabia,1962.0,/AiAm0EtDvyGqNpVoieRw4u65vD1.jpg
13310,Let the Right One In,2008.0,/4hezTKTuZMp0l2ufihKwPgLmfLg.jpg
943,Lethal Weapon 3,1992.0,/8FnOudDHPOY7MFJnvQMR1qpuyek.jpg
193893,Let's Be Cops,2014.0,/pf4FoUr2phn5WyZjU7rLXSiW1Ve.jpg
80271,LOL,2012.0,/AlnBUoKzzPnczrzzxuh0SYwDa3Z.jpg
210479,Locke,2014.0,/mZTMFDk5VRQuvkJaCFFAXFV65G6.jpg
9593,Last Action Hero,1993.0,/yTfjHPqh7C7bkfMtEKx2mPdorQw.jpg
459992,Long Shot,2019.0,/m2ttWZ8rMRwIMT7zA48Jo6mTkDS.jpg
944,Lethal Weapon 4,1998.0,/w8qaZ1OuBuI2NhySynW0n4kHWgT.jpg
22894,Legion,2010.0,/ykocDqwg5PRUopnBVb1x1DWnEJF.jpg
638,Lost Highway,1997.0,/5POhfNeFPIi4VUNwCTaK85sh98r.jpg
4476,Legends of the Fall,1994.0,/t1KPGlW0UGd0m515LPQmk2F4nu1.jpg
339877,Loving Vincent,2017.0,/56sq57kDm7XgyXBYrgJLumo0Jac.jpg
292431,Love,2015.0,/21UExtLnYmeH6sAxD4zdlrb5PG6.jpg
13597,Labyrinth,1986.0,/q2GimbyqxCeLkRfSMajtaHdwWg9.jpg
41216,Legend of the Guardians: The Owls of Ga'Hoole,2010.0,/zKY2nJPozrItOsSCkjgY7QPkLrE.jpg
549053,Last Christmas,2019.0,/kDEjffiKgjuGo2DRzsqfjvW0CQh.jpg
9494,Look Who's Talking,1989.0,/k60x5YEOox9P9vWITSHFSkLGecN.jpg
137093,Last Vegas,2013.0,/9Aht200Eu2jYiE9cEQdFfNDtHl6.jpg
718032,Licorice Pizza,2021.0,/jD98aUKHQZNAmrk0wQQ9wmNQPnP.jpg
25195,Leap Year,2010.0,/i86hMi5iEF3WnYLCaGHdT5FPdYg.jpg
4836,Layer Cake,2004.0,/rDOxXteqxALBaSa3V3zTjGJuyWB.jpg
41402,Let Me In,2010.0,/3b5gD5vNmf7Vafj2MN8uMA8r0qu.jpg
1251,Letters from Iwo Jima,2006.0,/kZokxQtzMPURvijWYFuvh1fAvnv.jpg
802,Lolita,1962.0,/8Puqbeh0D95DpXFWep1rmH78btu.jpg
253,Live and Let Die,1973.0,/39qkrjqMZs6utwNmihVImC3ghas.jpg
9322,La Femme Nikita,1990.0,/1ulQDewUG4KKHOhpXdGKm3GdLFq.jpg
709,Licence to Kill,1989.0,/8nzJve63EXA79HGAyidZwivZrQ2.jpg
81796,Lockout,2012.0,/i5QfNIcg6hc327IWUerea0EczP4.jpg
8424,Love Me If You Dare,2003.0,/3jwY4llYNzONpSwvdX4hH4q0nas.jpg
439,La Dolce Vita,1960.0,/11hMHhThUb53fHoDDyn5LUsw0Z.jpg
9678,Little Nicky,2000.0,/AudA8gnTWSBWXBHSBHnr3HHUXXM.jpg
318917,Look Who's Back,2015.0,/1CxZWytSiCzZiZA5k0AiLUFtQNA.jpg
6615,Lars and the Real Girl,2007.0,/nkAt4a7KIPc7Fi1BhxNHhYYbe2b.jpg
447362,Life in a Year,2020.0,/bP7u19opmHXYeTCUwGjlLldmUMc.jpg
9769,Lolita,1997.0,/9INcC14WZjCMKGE360VXmklCLdZ.jpg
9072,Little Man,2006.0,/zlmlkLVNexUciv3ffdtqHELEVgg.jpg
1407,La Vie en Rose,2007.0,/pmKVYXBb57iQ9cKXuYF1GCWxBip.jpg
4550,Lady Vengeance,2005.0,/7F7Ozn0QpqkVvuv1kC2XpbuFvn9.jpg
48034,Little White Lies,2010.0,/djypJtQfUxeEMh6kc0aRzIoN9UR.jpg
512895,Lady and the Tramp,2019.0,/8wBEye516IKul9sW7JKGcFXVGfV.jpg
585511,Luck,2022.0,/1HOYvwGFioUFL58UVvDRG6beEDm.jpg
