id,title,vote_average,vote_count,status,release_date,revenue,runtime,adult,backdrop_path,budget,homepage,imdb_id,original_language,original_title,overview,popularity,poster_path,tagline,genres,production_companies,production_countries,spoken_languages
324857,Spider-Man: Into the Spider-Verse,8.404,14024,Released,2018-12-06,375464627,117,False,/qGQf2OHIkoh89K8XeKQzhxczf96.jpg,90000000,https://www.sonypictures.com/movies/spidermanintothespiderverse,tt4633694,en,Spider-Man: Into the Spider-Verse,"Struggling to find his place in the world while juggling school and family, Brooklyn teenager Miles Morales is unexpectedly bitten by a radioactive spider and develops unfathomable powers just like the one and only Spider-Man. While wrestling with the implications of his new abilities, Miles discovers a super collider created by the madman Wilson ""Kingpin"" Fisk, causing others from across the Spider-Verse to be inadvertently transported to his dimension.",80.675,/iiZZdoQBEYBv6id8su7ImL0oCbD.jpg,More than one wears the mask.,"Action, Adventure, Animation, Science Fiction","Columbia Pictures, Lord Miller, Pascal Pictures, Sony Pictures Animation, Arad Productions",United States of America,"English, Japanese, Spanish"
27205,Inception,8.364,34495,Released,2010-07-15,825532764,148,False,/8ZTVqvKDQ8emSGUEMjsS4yHAwrp.jpg,160000000,https://www.warnerbros.com/movies/inception,tt1375666,en,Inception,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",83.952,/oYuLEt3zVCKq57qu2F8dT7NIa6f.jpg,Your mind is the scene of the crime.,"Action, Science Fiction, Adventure","Legendary Pictures, Syncopy, Warner Bros. Pictures","United Kingdom, United States of America","English, French, Japanese, Swahili"
361743,Top Gun: Maverick,8.26,7546,Released,2022-05-24,1488732821,131,False,/AaV1YIdWKnjAIAOe8UUKBFm327v.jpg,170000000,https://www.topgunmovie.com,tt1745960,en,Top Gun: Maverick,"After more than thirty years of service as one of the Navy’s top aviators, and dodging the advancement in rank that would ground him, Pete “Maverick” Mitchell finds himself training a detachment of TOP GUN graduates for a specialized mission the likes of which no living pilot has ever seen.",126.291,/62HCnUTziyWcpDaBO2i1DX17ljH.jpg,Feel the need... The need for speed.,"Action, Drama","Skydance, Don Simpson/Jerry Bruckheimer Films, Paramount",United States of America,English
98,Gladiator,8.209,16962,Released,2000-05-04,465361176,155,False,/3ZVEtQxVPpEp5LNpAULDcxadTU3.jpg,103000000,,tt0172495,en,Gladiator,"In the year 180, the death of emperor Marcus Aurelius throws the Roman Empire into chaos.  Maximus is one of the Roman army's most capable and trusted generals and a key advisor to the emperor.  As Marcus' devious son Commodus ascends to the throne, Maximus is set to be executed.  He escapes, but is captured by slave traders.  Renamed Spaniard and forced to become a gladiator, Maximus must battle to the death with other men for the amusement of paying audiences.",53.587,/ty8TGRuvJLPUmAR1H1nRIsgwvim.jpg,A hero will rise.,"Action, Drama, Adventure","Universal Pictures, Scott Free Productions, Red Wagon Entertainment, Mill Film, C & L, Dawliz, DreamWorks Pictures","United Kingdom, United States of America",English
603,The Matrix,8.206,23815,Released,1999-03-30,463517383,136,False,/oMsxZEvz9a708d49b6UdZK1KAo5.jpg,63000000,http://www.warnerbros.com/matrix,tt0133093,en,The Matrix,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.",78.564,/f89U3ADr1oiB1s9GkdPOEpXUk5H.jpg,Welcome to the Real World.,"Action, Science Fiction","Village Roadshow Pictures, Groucho II Film Partnership, Silver Pictures, Warner Bros. Pictures",United States of America,English
791373,Zack Snyder's Justice League,8.19,9202,Released,2021-03-18,0,242,False,/4LO6bnNGIa8zNbM6HwCYzlUKIHq.jpg,70000000,https://www.hbomax.com/zacksnydersjusticeleague,tt12361974,en,Zack Snyder's Justice League,"Determined to ensure Superman's ultimate sacrifice was not in vain, Bruce Wayne aligns forces with Diana Prince with plans to recruit a team of metahumans to protect the world from an approaching threat of catastrophic proportions.",130.69,/tnAuB8q5vv7Ax9UAEje5Xi4BXik.jpg,Us united.,"Action, Adventure, Fantasy","Warner Bros. Pictures, The Stone Quarry, Atlas Entertainment, Access Entertainment, Dune Entertainment, DC Films",United States of America,English
111,Scarface,8.168,10749,Released,1983-12-09,66023329,169,False,/cCvp5Sni75agCtyJkNOMapORUQV.jpg,25000000,,tt0086250,en,Scarface,"After getting a green card in exchange for assassinating a Cuban government official, Tony Montana stakes a claim on the drug trade in Miami. Viciously murdering anyone who stands in his way, Tony eventually becomes the biggest drug lord in the state, controlling nearly all the cocaine that comes through Miami. But increased pressure from the police, wars with Colombian drug cartels and his own drug-fueled paranoia serve to fuel the flames of his eventual downfall.",54.199,/iQ5ztdjvteGeboxtmRdXEChJOHh.jpg,The world is yours...,"Action, Crime, Drama",Universal Pictures,United States of America,"English, Spanish"
280,Terminator 2: Judgment Day,8.104,11744,Released,1991-07-03,520000000,137,False,/xKb6mtdfI5Qsggc44Hr9CCUDvaj.jpg,102000000,https://www.lionsgate.com/movies/terminator-2-judgment-day,tt0103064,en,Terminator 2: Judgment Day,"Nearly 10 years have passed since Sarah Connor was targeted for termination by a cyborg from the future. Now her son, John, the future leader of the resistance, is the target for a newer, more deadly terminator. Once again, the resistance has managed to send a protector back to attempt to save John and his mother Sarah.",69.45,/5M0j0B18abtBI5gi2RhfjjurTqb.jpg,It's nothing personal.,"Action, Thriller, Science Fiction","Lightstorm Entertainment, Carolco Pictures, Pacific Western, Le Studio Canal+","France, United States of America","English, Spanish"
615457,Nobody,8.018,6217,Released,2021-03-18,61779301,92,False,/6zbKgwgaaCyyBXE4Sun4oWQfQmi.jpg,17000000,https://www.nobody.movie,tt7888964,en,Nobody,"Hutch Mansell, a suburban dad, overlooked husband, nothing neighbor — a ""nobody."" When two thieves break into his home one night, Hutch's unknown long-simmering rage is ignited and propels him on a brutal path that will uncover dark secrets he fought to leave behind.",44.03,/oBgWY00bEFeZ9N25wWVyuQddbAo.jpg,Never underestimate a nobody.,"Action, Crime, Thriller","87North Productions, Odenkirk Provissiero Entertainment, Eighty Two Films",United States of America,"English, Russian, Spanish"
634649,Spider-Man: No Way Home,7.99,18299,Released,2021-12-15,1921847111,148,False,/14QbnygCuTO0vl7CAFmPf1fgZfV.jpg,200000000,https://www.spidermannowayhome.movie,tt10872600,en,Spider-Man: No Way Home,"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.",186.065,/5weKu49pzJCt06OPpjvT80efnQj.jpg,The Multiverse unleashed.,"Action, Adventure, Science Fiction","Marvel Studios, Pascal Pictures, Columbia Pictures",United States of America,"English, Tagalog"
24,Kill Bill: Vol. 1,7.97,16188,Released,2003-10-10,180906076,111,False,/k9Ps0EsrTnqbQ4oTTWx628BQ2TW.jpg,30000000,http://www.miramax.com/movie/kill-bill-volume-1,tt0266697,en,Kill Bill: Vol. 1,"An assassin is shot by her ruthless employer, Bill, and other members of their assassination circle – but she lives to plot her vengeance.",36.315,/v7TaX8kXMXs5yFFGR41guUDNcnB.jpg,A roaring rampage of revenge.,"Action, Crime","Miramax, A Band Apart, Super Cool ManChu",United States of America,"English, Japanese, French"
679,Aliens,7.933,8758,Released,1986-07-18,183316455,137,False,/jMBpJFRtrtIXymer93XLavPwI3P.jpg,18500000,https://www.20thcenturystudios.com/movies/aliens,tt0090605,en,Aliens,"When Ripley's lifepod is found by a salvage crew over 50 years later, she finds that terra-formers are on the very planet they found the alien species. When the company sends a family of colonists out to investigate her story—all contact is lost with the planet and colonists. They enlist Ripley and the colonial marines to return and search for answers.",49.209,/r1x5JGpyqZU8PYhbs4UcrO1Xb6x.jpg,This time it's war.,"Action, Thriller, Science Fiction","Brandywine Productions, SLM Production Group, 20th Century Fox",United States of America,English
197,Braveheart,7.932,9347,Released,1995-05-24,213216216,177,False,/8lBcqakI3F19NWkXdqE0M8W76b9.jpg,72000000,,tt0112573,en,Braveheart,"Enraged at the slaughter of Murron, his new bride and childhood love, Scottish warrior William Wallace slays a platoon of the local English lord's soldiers. This leads the village to revolt and, eventually, the entire country to rise up against English rule.",33.766,/or1gBugydmjToAEq7OZY0owwFk.jpg,Every man dies. Not every man truly lives.,"Action, Drama, History, War","Icon Entertainment International, The Ladd Company, B.H. Finance C.V.",United States of America,"English, French, Latin, Gaelic"
118340,Guardians of the Galaxy,7.906,26638,Released,2014-07-30,772776600,121,False,/uLtVbjvS1O7gXL8lUOwsFOH4man.jpg,170000000,http://marvel.com/guardians,tt2015381,en,Guardians of the Galaxy,"Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.",33.255,/r7vmZjiyZw9rpJMQJdXpjgiCOk9.jpg,All heroes start somewhere.,"Action, Science Fiction, Adventure",Marvel Studios,United States of America,English
949,Heat,7.903,6552,Released,1995-12-15,187436818,170,False,/X7zKxmyrVmYCfcyvDgVLH8iNzA.jpg,60000000,https://www.20thcenturystudios.com/movies/heat,tt0113277,en,Heat,Obsessive master thief Neil McCauley leads a top-notch crew on various daring heists throughout Los Angeles while determined detective Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.,41.522,/umSVjVdbVwtx5ryCA2QXL44Durm.jpg,A Los Angeles crime saga.,"Action, Crime, Drama","Regency Enterprises, Forward Pass, Warner Bros. Pictures, The Linson Company, Monarchy Enterprises B.V., New Regency Pictures",United States of America,"English, Spanish"
752,V for Vendetta,7.897,13556,Released,2006-02-23,132511035,132,False,/sFEYsEfzTx7hhjetlNrme8B5OUo.jpg,54000000,http://vforvendetta.warnerbros.com/,tt0434409,en,V for Vendetta,"In a world in which Great Britain has become a fascist state, a masked vigilante known only as “V” conducts guerrilla warfare against the oppressive British government. When V rescues a young woman from the secret police, he finds in her an ally with whom he can continue his fight to free the people of Britain.",42.174,/1avD1JeaRiJX5M4ahPdZPypGoGN.jpg,People should not be afraid of their governments. Governments should be afraid of their people.,"Action, Thriller, Science Fiction","Studio Babelsberg, Virtual Studios, Anarchos Productions, Silver Pictures, Fünfte Babelsberg Film, Warner Bros. Pictures, DC Comics, Medienboard Berlin-Brandenburg","Germany, United Kingdom, United States of America",English
393,Kill Bill: Vol. 2,7.876,12916,Released,2004-04-16,152159461,136,False,/70EtzaGfO2d8X5n8SLI4s61KuJh.jpg,30000000,,tt0378194,en,Kill Bill: Vol. 2,"The Bride unwaveringly continues on her roaring rampage of revenge against the band of assassins who had tried to kill her and her unborn child. She visits each of her former associates one-by-one, checking off the victims on her Death List Five until there's nothing left to do … but kill Bill.",37.053,/2yhg0mZQMhDyvUQ4rG1IZ4oIA8L.jpg,The bride is back for the final cut.,"Action, Crime, Thriller","Super Cool ManChu, Miramax, A Band Apart",United States of America,"English, Mandarin, Spanish, Cantonese"
545611,Everything Everywhere All at Once,7.822,5210,Released,2022-03-24,139200000,140,False,/ss0Os3uWJfQAENILHZUdX8Tt1OC.jpg,25000000,https://a24films.com/films/everything-everywhere-all-at-once,tt6710474,en,Everything Everywhere All at Once,"An aging Chinese immigrant is swept up in an insane adventure, where she alone can save what's important to her by connecting with the lives she could have led in other universes.",64.278,/rKvCys0fMIIi1X9rmJBxTPLAtoU.jpg,The universe is so much bigger than you realize.,"Action, Adventure, Science Fiction","AGBO, Ley Line Entertainment, Year of the Rat Productions, A24, IAC Films",United States of America,"Cantonese, Mandarin, English"
263115,Logan,7.8,18116,Released,2017-02-28,619021436,137,False,/9X7YweCJw3q8Mcf6GadxReFEksM.jpg,97000000,https://www.20thcenturystudios.com/movies/logan,tt3315342,en,Logan,"In the near future, a weary Logan cares for an ailing Professor X in a hideout on the Mexican border. But Logan's attempts to hide from the world and his legacy are upended when a young mutant arrives, pursued by dark forces.",54.194,/fnbjcRDYn6YviCcePDnGdyAkYsB.jpg,His time has come.,"Action, Drama, Science Fiction","Hutch Parker Entertainment, The Donners' Company, Genre Films, 20th Century Fox",United States of America,"English, Spanish"
49026,The Dark Knight Rises,7.777,21335,Released,2012-07-17,1081041287,165,False,/c3OHQncTAnKFhdOTX7D3LTW6son.jpg,250000000,http://www.thedarkknightrises.com/,tt1345836,en,The Dark Knight Rises,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",76.914,/hr0L2aueqlP2BYUblTTjmtn0hw4.jpg,The Legend Ends,"Action, Crime, Drama, Thriller","Syncopy, Legendary Pictures, DC Entertainment, Warner Bros. Pictures",United States of America,English
562,Die Hard,7.775,10202,Released,1988-07-15,140767956,131,False,/oIwfoUFfWfESn0Y8u8jv9lc8li1.jpg,28000000,https://www.foxmovies.com/movies/die-hard,tt0095016,en,Die Hard,"NYPD cop John McClane's plan to reconcile with his estranged wife is thrown for a serious loop when, minutes after he arrives at her office, the entire building is overtaken by a group of terrorists. With little help from the LAPD, wisecracking McClane sets out to single-handedly rescue the hostages and bring the bad guys down.",36.754,/yFihWxQcmqcaBR31QM6Y8gT6aYV.jpg,Twelve terrorists. One cop. The odds are against John McClane... That's just the way he likes it.,"Action, Thriller","Gordon Company, Silver Pictures, 20th Century Fox",United States of America,"English, German, Italian"
9806,The Incredibles,7.704,16584,Released,2004-10-27,631442092,115,False,/se5Hxz7PArQZOG3Nx2bpfOhLhtV.jpg,92000000,http://disney.go.com/disneyvideos/animatedfilms/incredibles/main.html,tt0317705,en,The Incredibles,"Bob Parr has given up his superhero days to log in time as an insurance adjuster and raise his three children with his formerly heroic wife in suburbia. But when he receives a mysterious assignment, it's time to get back into costume.",62.609,/2LqaLgk4Z226KkgPJuiOQ58wvrm.jpg,"No gut, no glory","Action, Adventure, Animation, Family","Pixar, Walt Disney Pictures",United States of America,"French, English"
272,Batman Begins,7.701,19561,Released,2005-06-10,374218673,140,False,/lh5lbisD4oDbEKgUxoRaZU8HVrk.jpg,150000000,https://www.warnerbros.com/movies/batman-begins/,tt0372784,en,Batman Begins,"Driven by tragedy, billionaire Bruce Wayne dedicates his life to uncovering and defeating the corruption that plagues his home, Gotham City.  Unable to work within the system, he instead creates a new identity, a symbol of fear for the criminal underworld - The Batman.",66.286,/4MpN4kIEqUjW8OPtOQJXlTdHiJV.jpg,Evil fears the knight.,"Action, Crime, Drama","Warner Bros. Pictures, DC Comics, Syncopy, Legendary Pictures, Patalex III Productions Limited","United Kingdom, United States of America","English, Urdu, Mandarin"
