id,title,vote_average,vote_count,status,release_date,revenue,runtime,adult,backdrop_path,budget,homepage,imdb_id,original_language,original_title,overview,popularity,poster_path,tagline,genres,production_companies,production_countries,spoken_languages
807,Se7en,8.368,19403,Released,1995-09-22,327311859,127,False,/i5H7zusQGsysGQ8i6P361Vnr0n2.jpg,33000000,http://www.sevenmovie.com/,tt0114369,en,Se7en,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",53.521,/6yoghtyTpznpBik8EngEmJskVUO.jpg,Seven deadly sins. Seven ways to die.,"Crime, Mystery, Thriller","New Line Cinema, Juno Pix, Cecchi Gori Pictures",United States of America,English
101,Léon: The Professional,8.316,13652,Released,1994-09-14,45284974,111,False,/jRJrQ72VLyEnVsvwfep8Xjlvu8c.jpg,16000000,,tt0110413,en,Léon: The Professional,"Léon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Léon's footsteps.",58.625,/yI6X2cCM5YPJtxMhUd3dPGqDAhw.jpg,"If you want a job done well, hire a professional.","Crime, Drama, Action","Gaumont, Les Films du Dauphin","United States of America, France","English, French, Italian"
274,The Silence of the Lambs,8.3,15003,Released,1991-02-14,272742922,119,False,/mfwq2nMBzArzQ7Y9RKE8SKeeTkg.jpg,19000000,,tt0102926,en,The Silence of the Lambs,"Clarice Starling is a top student at the FBI's training academy.  Jack Crawford wants Clarice to interview Dr. Hannibal Lecter, a brilliant psychiatrist who is also a violent psychopath, serving life behind bars for various acts of murder and cannibalism.  Crawford believes that Lecter may have insight into a case and that Starling, as an attractive young woman, may be just the bait to draw him out.",9.119,/uS9m8OBk1A8eM9I042bx8XXpqAq.jpg,To enter the mind of a killer she must challenge the mind of a madman.,"Crime, Drama, Thriller","Orion Pictures, Strong Heart/Demme Production",United States of America,English
103,Taxi Driver,8.2,11081,Released,1976-02-09,28600000,114,False,/6aoyUbvu0419XLKLIMoH0TkEicH.jpg,1900000,,tt0075314,en,Taxi Driver,A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feed his urge for violent action.,41.36,/ekstpH614fwDX8DUln1a2Opz0N8.jpg,"On every street in every city, there's a nobody who dreams of being a somebody.","Crime, Drama","Italo/Judeo Productions, Bill/Phillips, Columbia Pictures",United States of America,"English, Spanish"
475557,Joker,8.168,23425,Released,2019-10-01,1074458282,122,False,/hO7KbdvGOtDdeg0W4Y5nKEHeDDh.jpg,55000000,http://www.jokermovie.net/,tt7286456,en,Joker,"During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.",54.522,/udDclJoHjfjb8Ekgsd4FDteOkCU.jpg,Put on a happy face.,"Crime, Thriller, Drama","Warner Bros. Pictures, Joint Effort, Village Roadshow Pictures, Bron Studios, DC Films","Canada, United States of America",English
500,Reservoir Dogs,8.132,13296,Released,1992-09-02,2859750,99,False,/jqFjgNnxpXIXWuPsyfqmcLXRo9p.jpg,1200000,,tt0105236,en,Reservoir Dogs,"A botched robbery indicates a police informant, and the pressure mounts in the aftermath at a warehouse. Crime begets violence as the survivors -- veteran Mr. White, newcomer Mr. Orange, psychopathic parolee Mr. Blonde, bickering weasel Mr. Pink and Nice Guy Eddie -- unravel.",34.018,/xi8Iu6qyTfyZVDVy60raIOYJJmk.jpg,Every dog has his day.,"Crime, Thriller","Live Entertainment, Dog Eat Dog Productions",United States of America,English
359940,"Three Billboards Outside Ebbing, Missouri",8.081,9418,Released,2017-12-01,160192031,115,False,/oQHF0Y4gCw6VdPmapjsbZoxY2ht.jpg,15000000,http://www.foxsearchlight.com/threebillboardsoutsideebbingmissouri,tt5027774,en,"Three Billboards Outside Ebbing, Missouri","After seven months have passed without a culprit in her daughter's murder case, Mildred Hayes makes a bold move, painting three signs leading into her town with a controversial message directed at Bill Willoughby, the town's revered chief of police. When his second-in-command Officer Jason Dixon, an immature mother's boy with a penchant for violence, gets involved, the battle between Mildred and Ebbing's law enforcement is only exacerbated.",23.357,/pZRhqJj0DBy4ghB7g6pU7MGHsWJ.jpg,,"Crime, Drama","Blueprint Pictures, Cutting Edge Group, Fox Searchlight Pictures, Film4 Productions","United Kingdom, United States of America",English
106646,The Wolf of Wall Street,8.035,22222,Released,2013-12-25,392000000,180,False,/63y4XSVTZ7mRzAzkqwi3o0ajDZZ.jpg,100000000,http://www.thewolfofwallstreet.com/,tt0993846,en,The Wolf of Wall Street,"A New York stockbroker refuses to cooperate in a large securities fraud case involving corruption on Wall Street, corporate banking world and mob infiltration. Based on Jordan Belfort's autobiography.",97.444,/34m2tygAYBGqA9MXKhRDtzYd4MR.jpg,Earn. Spend. Party.,"Crime, Drama, Comedy","EMJAG Productions, Red Granite Pictures, Appian Way, Sikelia Productions",United States of America,"English, French"
641,Requiem for a Dream,8.027,9165,Released,2000-10-06,7390108,102,False,/s5R6kTMfOxkGit96A8lqcDL4uVk.jpg,4500000,https://www.lionsgate.com/movies/requiem-for-a-dream,tt0180093,en,Requiem for a Dream,The hopes and dreams of four ambitious people are shattered when their drug addictions begin spiraling out of control. A look into addiction and how it overcomes the mind and body.,16.408,/nOd6vjEmzCT0k4VYqsA2hwyi87C.jpg,,"Crime, Drama","Artisan Entertainment, Thousand Words, Protozoa Pictures",United States of America,English
524,Casino,8.004,5240,Released,1995-11-22,116112375,179,False,/pLR2O3dmA9xkCiPA26U7ErCUYSi.jpg,50000000,,tt0112641,en,Casino,"In early-1970s Las Vegas, Sam ""Ace"" Rothstein gets tapped by his bosses to head the Tangiers Casino. At first, he's a great success in the job, but over the years, problems with his loose-cannon enforcer Nicky Santoro, his ex-hustler wife Ginger, her con-artist ex Lester Diamond and a handful of corrupt politicians put Sam in ever-increasing danger.",29.212,/6zEZY1htzRos2w0W3T7o7W1WJhp.jpg,No one stays at the top forever.,"Crime, Drama","Universal Pictures, Syalis DA, De Fina-Cappa, Légende Films","France, United States of America",English
