id,title,vote_average,vote_count,status,release_date,revenue,runtime,adult,backdrop_path,budget,homepage,imdb_id,original_language,original_title,overview,popularity,poster_path,tagline,genres,production_companies,production_countries,spoken_languages
238,The Godfather,8.707,18677,Released,1972-03-14,245066411,175,False,/tmU7GeKVybMWFButWEGl2M4GeiP.jpg,6000000,http://www.thegodfather.com/,tt0068646,en,The Godfather,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",158.448,/3bhkrj58Vtu7enYsRolD1fZdja1.jpg,An offer you can't refuse.,"Drama, Crime","Paramount, Alfran Productions",United States of America,"English, Italian, Latin"
278,The Shawshank Redemption,8.702,24649,Released,1994-09-23,28341469,142,False,/kXfqcdQKsToO0OUXHcrrNCHDBzO.jpg,25000000,,tt0111161,en,The Shawshank Redemption,"Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",122.61,/lyQBXzOQSuE59IsHyhrp0qIiPAz.jpg,Fear can hold you prisoner. Hope can set you free.,"Drama, Crime",Castle Rock Entertainment,United States of America,English
240,The Godfather Part II,8.591,11293,Released,1974-12-20,102600000,202,False,/kGzFbGhp99zva6oZODW5atUtnqi.jpg,13000000,,tt0071562,en,The Godfather Part II,"In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.",64.753,/hek3koDUyRQk7FIhPXsa6mT2Zc3.jpg,"I don't feel I have to wipe everybody out, Tom. Just my enemies.","Drama, Crime","Paramount, The Coppola Company",United States of America,"English, Italian, Latin, Spanish"
424,Schindler's List,8.573,14594,Released,1993-12-15,321365567,195,False,/zb6fM1CX41D9rF9hdgclu0peUmy.jpg,22000000,http://www.schindlerslist.com/,tt0108052,en,Schindler's List,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,65.084,/sF1U4EUQS8YHUYjNl3pMGNIQyr0.jpg,"Whoever saves one life, saves the world entire.","Drama, History, War",Amblin Entertainment,United States of America,"German, Polish, Hebrew, English"
389,12 Angry Men,8.54,7658,Released,1957-04-10,1000000,97,False,/qqHQsStV6exghCM7zbObuYBiYxw.jpg,350000,,tt0050083,en,12 Angry Men,"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.",51.201,/ow3wq89wM8qd5X7hWKxiRfsFf9C.jpg,Life is in their hands. Death is on their minds.,Drama,"United Artists, Orion-Nova Productions",United States of America,English
155,The Dark Knight,8.512,30619,Released,2008-07-16,1004558444,152,False,/nMKdUUepR0i5zn0y1T4CsSB5chy.jpg,185000000,https://www.warnerbros.com/movies/dark-knight/,tt0468569,en,The Dark Knight,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",130.643,/qJ2tW6WMUDux911r6m7haRef0WH.jpg,Welcome to a world without rules.,"Drama, Action, Crime, Thriller","DC Comics, Legendary Pictures, Syncopy, Isobel Griffiths, Warner Bros. Pictures","United Kingdom, United States of America","English, Mandarin"
769,GoodFellas,8.464,11726,Released,1990-09-12,46835000,145,False,/sw7mordbZxgITU877yTpZCud90M.jpg,25000000,http://www.warnerbros.com/goodfellas,tt0099685,en,GoodFellas,"The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.",83.57,/aKuFiU82s5ISJpGZp7YkIr3kCUd.jpg,Three decades of life in the mafia.,"Drama, Crime",Winkler Films,United States of America,"Italian, English"
550,Fight Club,8.438,27238,Released,1999-10-15,100853753,139,False,/hZkgoQYus5vegHoetLkCJzb17zJ.jpg,63000000,http://www.foxmovies.com/movies/fight-club,tt0137523,en,Fight Club,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",69.498,/pB8BM7pdSp6B6Ih7QZ4DrQ3PmJK.jpg,Mischief. Mayhem. Soap.,Drama,"Regency Enterprises, Fox 2000 Pictures, Taurus Film, Atman Entertainment, Knickerbocker Films, The Linson Company, 20th Century Fox",United States of America,English
598,City of God,8.429,6708,Released,2002-08-30,30641770,130,False,/5p3aTxtUtZHCHwYsuycutmxIhND.jpg,3300000,http://cidadededeus.globo.com/,tt0317248,pt,Cidade de Deus,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",29.573,/k7eYdWvhYQyRQoU2TB2A2Xu2TfD.jpg,"If you run, the beast catches you; if you stay, the beast eats you.","Drama, Crime","O2 Filmes, VideoFilmes, Wild Bunch, Hank Levine Film, Globo Filmes, Lumière, Miramax","Brazil, France",Portuguese
510,One Flew Over the Cuckoo's Nest,8.42,9650,Released,1975-11-19,108981275,133,False,/qUq3QTr2KLvGIcN0GaaaYx9bbyH.jpg,3000000,,tt0073486,en,One Flew Over the Cuckoo's Nest,"A petty criminal fakes insanity to serve his sentence in a mental ward rather than prison. He soon finds himself as a leader to the other patients—and an enemy to the cruel, domineering nurse who runs the ward.",36.673,/3jcbDmRFiQ83drXNOvRDeKHxS0C.jpg,"If he's crazy, what does that make you?",Drama,Fantasy Films,United States of America,English
