id,title,vote_average,vote_count,status,release_date,revenue,runtime,adult,backdrop_path,budget,homepage,imdb_id,original_language,original_title,overview,popularity,poster_path,tagline,genres,production_companies,production_countries,spoken_languages
8587,The Lion King,8.256,16991,Released,1994-06-24,763455561,89,False,/yDaMQbBfyGzGWKxUsPMxzWVuJlY.jpg,45000000,http://movies.disney.com/the-lion-king,tt0110357,en,The Lion King,"A young lion prince is cast out of his pride by his cruel uncle, who claims he killed his father. While the uncle rules with an iron paw, the prince grows up beyond the Savannah, living by a philosophy: No worries for the rest of your days. But when his past comes to haunt him, the young prince must decide his fate: Will he remain an outcast or face his demons and become what he needs to be?",87.384,/sKCr78MXSLixwmZ8DyJLrpMsd15.jpg,Life's greatest adventure is finding your place in the Circle of Life.,"Family, Animation, Drama","Walt Disney Pictures, Walt Disney Feature Animation",United States of America,English
354912,Coco,8.222,17742,Released,2017-10-27,800526015,105,False,/askg3SMvhqEl4OL52YuvdtY40Yb.jpg,175000000,https://www.pixar.com/feature-films/coco,tt2380307,en,Coco,"Despite his family’s baffling generations-old ban on music, Miguel dreams of becoming an accomplished musician like his idol, Ernesto de la Cruz. Desperate to prove his talent, Miguel finds himself in the stunning and colorful Land of the Dead following a mysterious chain of events. Along the way, he meets charming trickster Hector, and together, they set off on an extraordinary journey to unlock the real story behind Miguel's family history.",166.578,/gGEsBPAijhVUFoiNpgZXqRVWJt2.jpg,The celebration of a lifetime,"Family, Animation, Fantasy, Music, Comedy, Adventure","Pixar, Walt Disney Pictures",United States of America,"English, Spanish"
10386,The Iron Giant,7.925,5105,Released,1999-08-06,23159305,86,False,/gZ78dyRH9hXeH94ASjuvD9Vw4b5.jpg,70000000,https://www.warnerbros.com/iron-giant,tt0129167,en,The Iron Giant,"In the small town of Rockwell, Maine in October 1957, a giant metal machine befriends a nine-year-old boy and ultimately finds its humanity by unselfishly saving people from their own fears and prejudices.",41.39,/mThOw5rXLtdbY3WmuTsS9zsQBMG.jpg,It came from outer space!,"Family, Animation, Science Fiction, Drama","Warner Bros. Pictures, Warner Bros. Animation",United States of America,English
508439,Onward,7.726,5687,Released,2020-02-29,141940042,103,False,/xFxk4vnirOtUxpOEWgA1MCRfy6J.jpg,200000000,https://movies.disney.com/onward,tt7146812,en,Onward,"In a suburban fantasy world, two teenage elf brothers embark on an extraordinary quest to discover if there is still a little magic left out there.",25.372,/f4aul3FyD3jv3v4bul1IrkWZvzq.jpg,Their quest begineth.,"Family, Animation, Adventure, Comedy, Fantasy","Walt Disney Pictures, Pixar",United States of America,English
301528,Toy Story 4,7.5,9093,Released,2019-06-19,1073394593,100,False,/q62bpQ67qaXY0u6b2wFEnQYIbPd.jpg,175000000,https://www.pixar.com/feature-films-toy-story-4,tt1979376,en,Toy Story 4,"Woody has always been confident about his place in the world and that his priority is taking care of his kid, whether that's Andy or Bonnie. But when Bonnie adds a reluctant new toy called ""Forky"" to her room, a road trip adventure alongside old and new friends will show Woody how big the world can be for a toy.",61.083,/w9kR8qbmQ01HwnvK4alvnQ2ca0L.jpg,Get Ready to Hit the Road,"Family, Adventure, Animation, Comedy, Fantasy","Walt Disney Pictures, Pixar",United States of America,English
37135,Tarzan,7.402,6238,Released,1999-06-18,448191819,88,False,/86z1Yrwj7yN1xehSa0gIwHnR7xl.jpg,130000000,,tt0120855,en,Tarzan,"Tarzan was a small orphan who was raised by an ape named Kala since he was a child. He believed that this was his family, but on an expedition Jane Porter is rescued by Tarzan. He then finds out that he's human. Now Tarzan must make the decision as to which family he should belong to...",72.359,/bTvHlcqiOjGa3lFtbrTLTM3zasY.jpg,An immortal legend. As you've only imagined.,"Family, Adventure, Animation, Drama","Walt Disney Pictures, Edgar Rice Burroughs Inc., Walt Disney Feature Animation",United States of America,English
81188,Rise of the Guardians,7.36,6229,Released,2012-11-21,306941670,97,False,/46IGtYNjpIvQYRIQlb2X493Wh8x.jpg,145000000,http://www.riseoftheguardians.com/,tt1446192,en,Rise of the Guardians,"When an evil spirit known as Pitch lays down the gauntlet to take over the world, the immortal Guardians must join forces for the first time to protect the hopes, beliefs and imagination of children all over the world.",36.796,/sW4qOa9yF0Ikg7lppncQ0n5UhKX.jpg,You better believe.,"Family, Animation, Fantasy, Action, Adventure","DreamWorks Animation, Paramount",United States of America,"French, English"
420809,Maleficent: Mistress of Evil,7.323,5698,Released,2019-10-16,491730089,119,False,/skvI4rYFrKXS73BJxWGH54Omlvv.jpg,185000000,https://movies.disney.com/maleficent-mistress-of-evil,tt4777008,en,Maleficent: Mistress of Evil,"Maleficent and her goddaughter Aurora begin to question the complex family ties that bind them as they are pulled in different directions by impending nuptials, unexpected allies, and dark new forces at play.",40.547,/vloNTScJ3w7jwNwtNGoG8DbTThv.jpg,Go beyond the fairy tale,"Family, Fantasy, Adventure, Action","Walt Disney Pictures, Roth Films",United States of America,English
82690,Wreck-It Ralph,7.3,11546,Released,2012-11-01,471222889,101,False,/ziC23LkMYj8gToQQYQGWSGJCLNF.jpg,165000000,http://disney.go.com/wreck-it-ralph,tt1772341,en,Wreck-It Ralph,"Wreck-It Ralph is the 9-foot-tall, 643-pound villain of an arcade video game named Fix-It Felix Jr., in which the game's titular hero fixes buildings that Ralph destroys. Wanting to prove he can be a good guy and not just a villain, Ralph escapes his game and lands in Hero's Duty, a first-person shooter where he helps the game's hero battle against alien invaders. He later enters Sugar Rush, a kart racing game set on tracks made of candies, cookies and other sweets. There, Ralph meets Vanellope von Schweetz who has learned that her game is faced with a dire threat that could affect the entire arcade, and one that Ralph may have inadvertently started.",46.617,/zWoIgZ7mgmPkaZjG0102BSKFIqQ.jpg,The story of a regular guy just looking for a little wreck-ognition.,"Family, Animation, Comedy, Adventure","Walt Disney Animation Studios, Walt Disney Pictures",United States of America,English
9325,The Jungle Book,7.276,5809,Released,1967-10-18,205843612,78,False,/mdcZu40eNYXHYfakT2IJRocKuNw.jpg,4000000,http://movies.disney.com/the-jungle-book-1967,tt0061852,en,The Jungle Book,"The boy Mowgli makes his way to the man-village with Bagheera, the wise panther. Along the way he meets jazzy King Louie, the hypnotic snake Kaa and the lovable, happy-go-lucky bear Baloo, who teaches Mowgli ""The Bare Necessities"" of life and the true meaning of friendship.",55.91,/yN1kuupnPTLUprgfvC5WapgrxG4.jpg,The Jungle is JUMPIN'!,"Family, Animation, Adventure",Walt Disney Productions,United States of America,English
330457,Frozen II,7.272,9060,Released,2019-11-20,1450026933,103,False,/xJWPZIYOEFIjZpBL7SVBGnzRYXp.jpg,150000000,https://movies.disney.com/frozen-2,tt4520988,en,Frozen II,"Elsa, Anna, Kristoff and Olaf head far into the forest to learn the truth about an ancient mystery of their kingdom.",70.221,/mINJaa34MtknCYl5AjtNJzWj8cD.jpg,The past is not what it seems.,"Family, Animation, Adventure, Comedy, Fantasy","Walt Disney Pictures, Walt Disney Animation Studios",United States of America,English
