id,title,vote_average,vote_count,status,release_date,revenue,runtime,adult,backdrop_path,budget,homepage,imdb_id,original_language,original_title,overview,popularity,poster_path,tagline,genres,production_companies,production_countries,spoken_languages
539,Psycho,8.437,9272,Released,1960-06-22,32000000,109,False,/uif5fUshJrXyyDzfpzp1DLw3N0S.jpg,806947,,tt0054215,en,Psycho,"When larcenous real estate clerk Marion Crane goes on the lam with a wad of cash and hopes of starting a new life, she ends up at the notorious Bates Motel, where manager Norman Bates cares for his housebound mother.",51.373,/yz4QVqPx3h1hD1DfqqQkCq3rmxW.jpg,A new—and altogether different—screen excitement!,"Horror, Drama, Thriller",Shamley Productions,United States of America,English
694,The Shining,8.218,16205,Released,1980-05-23,44781695,144,False,/AdKA2F1SzYPhSZdEbjH1Zh75UVQ.jpg,19000000,,tt0081505,en,The Shining,"Jack Torrance accepts a caretaker job at the Overlook Hotel, where he, along with his wife Wendy and their son Danny, must live isolated from the rest of the world for the winter. But they aren't prepared for the madness that lurks within.",45.252,/xazWoLealQwEgqZ89MLZklLZD3k.jpg,"He came as the caretaker, but this hotel had its own guardians - who'd been there a long time","Horror, Thriller","Hawk Films, Peregrine, Producers Circle, Warner Bros. Pictures","United Kingdom, United States of America",English
348,Alien,8.147,13206,Released,1979-05-25,104931801,117,False,/AmR3JG1VQVxU8TfAvljUhfSFUOx.jpg,11000000,https://www.20thcenturystudios.com/movies/alien,tt0078748,en,Alien,"During its return to the earth, commercial spaceship Nostromo intercepts a distress signal from a distant planet. When a three-member team of the crew discovers a chamber containing thousands of eggs on the planet, a creature inside one of the eggs attacks an explorer. The entire crew is unaware of the impending nightmare set to descend upon them when the alien parasite planted inside its unfortunate host is birthed.",72.767,/vfrQk5IPloGg1v9Rzbh2Eg3VGyM.jpg,In space no one can hear you scream.,"Horror, Science Fiction","Brandywine Productions, 20th Century Fox","United States of America, United Kingdom","English, Spanish"
1091,The Thing,8.045,6232,Released,1982-06-25,19629760,109,False,/gl8jhRWV8k7yDEJLp51qtrV9FM0.jpg,15000000,http://www.theofficialjohncarpenter.com/the-thing/,tt0084787,en,The Thing,"A team of American scientists investigate the empty, destroyed base of their Norwegian counterparts in Antarctica, only to discover a terrifying life force that can take the form of its prey.",57.921,/tzGY49kseSE9QAKk47uuDGwnSCu.jpg,Man is The Warmest Place to Hide.,"Horror, Mystery, Science Fiction","Universal Pictures, Turman-Foster Company, Province of BC, Ministry of Tourism, Film Promotion Office","Canada, United States of America","English, Norwegian"
396535,Train to Busan,7.8,6694,Released,2016-07-20,87547518,118,False,/aKISIT8ir0UhHD4yRHDzpK4b6yS.jpg,8500000,https://www.wellgousa.com/films/train-to-busan,tt5700672,ko,부산행,"When a zombie virus pushes Korea into a state of emergency, those trapped on an express train to Busan must fight for their own survival.",49.553,/vNVFt6dtcqnI7hqa6LFBUibuFiw.jpg,Life-or-death survival begins,"Horror, Thriller, Action, Adventure","Next Entertainment World, RedPeter Film, Contents Panda, Union Investment Partners, KTB Network, Korean Film Council",South Korea,Korean
9552,The Exorcist,7.72,7247,Released,1973-12-26,441405644,122,False,/huC0x1don81NMreSGx4ITkrv9aG.jpg,12000000,http://theexorcist.warnerbros.com/,tt0070047,en,The Exorcist,"12-year-old Regan MacNeil begins to adapt an explicit new personality as strange events befall the local area of Georgetown. Her mother becomes torn between science and superstition in a desperate bid to save her daughter, and ultimately turns to her last hope: Father Damien Karras, a troubled priest who is struggling with his own faith.",94.668,/4ucLGcXVVSVnsfkGtbLY4XAius8.jpg,"Something almost beyond comprehension is happening to a girl on this street, in this house… and a man has been sent for as a last resort. This man is The Exorcist.",Horror,"Hoya Productions, Warner Bros. Pictures",United States of America,"German, French, Latin, Arabic, Greek, English"
578,Jaws,7.659,9541,Released,1975-06-20,470653000,124,False,/xgU3KkqiME9pGe5gGCNpUYkoSWg.jpg,7000000,https://www.uphe.com/movies/jaws,tt0073195,en,Jaws,"When an insatiable great white shark terrorizes the townspeople of Amity Island, the police chief, an oceanographer and a grizzled shark hunter seek to destroy the blood-thirsty beast.",34.492,/lxM6kqilAdpdhqUl2biYp5frUxE.jpg,The terrifying motion picture from the terrifying No.1 best seller.,"Horror, Thriller, Adventure","Zanuck/Brown Productions, Universal Pictures",United States of America,English
1933,The Others,7.612,5916,Released,2001-08-02,209947037,101,False,/y5hbHJbERDFurustaqcVamN84Y0.jpg,17000000,,tt0230600,en,The Others,"Grace is a religious woman who lives in an old house kept dark because her two children, Anne and Nicholas, have a rare sensitivity to light. When the family begins to suspect the house is haunted, Grace fights to protect her children at any cost in the face of strange events and disturbing visions.",40.216,/p8g1vlTvpM6nr2hMMiZ1fUlKF0D.jpg,Sooner or later they’ll find you.,"Horror, Mystery, Thriller","Cruise/Wagner Productions, Canal+, Sogecine, Las Producciones del Escorpion, Dimension Films, StudioCanal","France, Spain, United States of America",English
138843,The Conjuring,7.541,10683,Released,2013-07-18,320406242,112,False,/aQCCpAIdWAp6wyFgjMry4okwrZo.jpg,13000000,http://theconjuring.warnerbros.com,tt1457767,en,The Conjuring,"Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse. Forced to confront a powerful entity, the Warrens find themselves caught in the most terrifying case of their lives.",105.394,/wVYREutTvI2tmxr6ujrHT704wGF.jpg,Based on the true case files of the Warrens,"Horror, Thriller","Evergreen Media Group, New Line Cinema, The Safran Company",United States of America,English
747,Shaun of the Dead,7.54,7760,Released,2004-04-09,30097092,99,False,/ysUbm8qcKLaUiMf0H82mE5ujvVQ.jpg,6100000,https://www.focusfeatures.com/shaun_of_the_dead,tt0365748,en,Shaun of the Dead,"Shaun lives a supremely uneventful life, which revolves around his girlfriend, his mother, and, above all, his local pub. This gentle routine is threatened when the dead return to life and make strenuous attempts to snack on ordinary Londoners.",46.212,/dgXPhzNJH8HFTBjXPB177yNx6RI.jpg,A romantic comedy. With zombies.,"Horror, Comedy","WT2 Productions, StudioCanal, Working Title Films, Big Talk Productions, Film4 Productions, Rogue Pictures, Universal Pictures","France, United Kingdom, United States of America",English
