id,title,vote_average,vote_count,status,release_date,revenue,runtime,adult,backdrop_path,budget,homepage,imdb_id,original_language,original_title,overview,popularity,poster_path,tagline,genres,production_companies,production_countries,spoken_languages
185,A Clockwork Orange,8.2,11946,Released,1971-12-19,26589000,137,False,/yIonSXf1jdNihhK8PssxO6KCIfz.jpg,2200000,,tt0066921,en,A Clockwork Orange,"In a near-future Britain, young Alexander DeLarge and his pals get their kicks beating and raping anyone they please. When not destroying the lives of others, Alex swoons to the music of Beethoven. The state, eager to crack down on juvenile crime, gives an incarcerated Alex the option to undergo an invasive procedure that'll rob him of all personal agency. In a time when conscience is a commodity, can Alex change his tune?",38.323,/4sHeTAp65WrSSuc05nRBKddhBxO.jpg,"Being the adventures of a young man whose principal interests are rape, ultra-violence and Beethoven.","Science Fiction, Drama","Warner Bros. Pictures, Hawk Films","United Kingdom, United States of America",English
38,Eternal Sunshine of the Spotless Mind,8.101,13709,Released,2004-03-19,72258126,108,False,/jz9Kep0xWjiA6QDHSsd43ASxNfj.jpg,20000000,http://www.eternalsunshine.com,tt0338013,en,Eternal Sunshine of the Spotless Mind,"Joel Barish, heartbroken that his girlfriend underwent a procedure to erase him from her memory, decides to do the same. However, as he watches his memories of her fade away, he realises that he still loves her, and may be too late to correct his mistake.",54.124,/5MwkWH9tYHv3mV9OdYTMR5qreIz.jpg,You can erase someone from your mind. Getting them out of your heart is another story.,"Science Fiction, Drama, Romance","Focus Features, Anonymous Content, This Is That Productions",United States of America,English
62,2001: A Space Odyssey,8.076,10575,Released,1968-04-02,71923560,149,False,/w5IDXtifKntw0ajv2co7jFlTQDM.jpg,12000000,http://2001spaceodysseymovie.com,tt0062622,en,2001: A Space Odyssey,"Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer.",48.932,/ve72VxNqjGM69Uky4WTo2bK6rfq.jpg,The Ultimate Trip.,"Science Fiction, Mystery, Adventure","Stanley Kubrick Productions, Metro-Goldwyn-Mayer","United Kingdom, United States of America","English, Russian"
78,Blade Runner,7.931,12770,Released,1982-06-25,41722424,118,False,/eIi3klFf7mp3oL5EEF4mLIDs26r.jpg,28000000,http://www.warnerbros.com/blade-runner,tt0083658,en,Blade Runner,"In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans.",56.798,/fwhLegA6z40W0DIy6EGXhzDzlOP.jpg,Man has made his match... now it's his problem.,"Science Fiction, Drama, Thriller","Shaw Brothers, The Ladd Company, Warner Bros. Pictures","United States of America, Hong Kong, United Kingdom","English, German, Cantonese, Japanese, Hungarian"
31011,Mr. Nobody,7.832,5512,Released,2009-11-06,2331721,141,False,/vbba0jXLjghW4nNzte51d8XWSvq.jpg,47000000,,tt0485947,en,Mr. Nobody,"Nemo Nobody leads an ordinary existence with his wife and 3 children; one day, he wakes up as a mortal centenarian in the year 2092.",21.974,/qNkIONc4Rgmzo23ph7qWp9QfVnW.jpg,"Nothing is real, everything is possible.","Science Fiction, Drama, Romance, Fantasy","Pan Européenne Production, Virtual Films, Wild Bunch","Belgium, Canada, France, Germany",English
438631,Dune,7.789,9420,Released,2021-09-15,402027830,155,False,/jYEW5xZkZk2WTrdbMGAPFuBqbDc.jpg,165000000,https://www.dunemovie.com/,tt1160419,en,Dune,"Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive.",75.848,/d5NXSklXo0qyIYkgV94XAgMIckC.jpg,It begins.,"Science Fiction, Adventure",Legendary Pictures,United States of America,"Mandarin, English"
24428,The Avengers,7.71,29166,Released,2012-04-25,1518815515,143,False,/9BBTo63ANSmhC4e6r62OJFuK2GL.jpg,220000000,https://www.marvel.com/movies/the-avengers,tt0848228,en,The Avengers,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",98.082,/RYMX2wcKCBAr24UyPD7xwmjaTn.jpg,Some assembly required.,"Science Fiction, Action, Adventure",Marvel Studios,United States of America,"English, Hindi, Russian"
76600,Avatar: The Way of Water,7.654,9830,Released,2022-12-14,2320250281,192,False,/8rpDcsfLJypbO6vREc0547VKqEv.jpg,460000000,https://www.avatar.com/movies/avatar-the-way-of-water,tt1630029,en,Avatar: The Way of Water,"Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.",241.285,/t6HIqrRAclMCA60NsSmeqe9RmNV.jpg,Return to Pandora.,"Science Fiction, Adventure, Action","20th Century Studios, Lightstorm Entertainment",United States of America,English
283995,Guardians of the Galaxy Vol. 2,7.624,20353,Released,2017-04-19,863756051,137,False,/aJn9XeesqsrSLKcHfHP4u5985hn.jpg,200000000,http://marvel.com/movies/movie/221/guardians_of_the_galaxy_vol_2,tt3896198,en,Guardians of the Galaxy Vol. 2,The Guardians must fight to keep their newfound family together as they unravel the mysteries of Peter Quill's true parentage.,67.553,/y4MBh0EjBlMuOzv9axM4qJlmhzz.jpg,Obviously.,"Science Fiction, Adventure, Action",Marvel Studios,United States of America,English
63,Twelve Monkeys,7.6,7677,Released,1995-12-29,168841459,129,False,/1IWaKG7AWiYMhADxhGtnElDJAGI.jpg,29000000,,tt0114746,en,Twelve Monkeys,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.",33.942,/gt3iyguaCIw8DpQZI1LIN5TohM2.jpg,The future is history.,"Science Fiction, Thriller, Mystery","Universal Pictures, Atlas Entertainment, Classico, Twelve Monkeys Productions",United States of America,"English, French"
